ticker,isin,shortname,fullname,industry,supersector,sector,subsector,listing_status,listing_date,trading_status,equity_type,equity_class,marketdata_currency,financial_currency,last_update,alsi_member,top40_member,irregular_flag
LBS,ZAE000004057,LIBSIL,Liblife Strategic Inv,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2001-06-29,,,
RAC,ZAE000105409,RACEC,Racec Group Ltd,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,DELISTED,,,,,,,2013-11-04,,,
LBV,0,LIBVEST,Liberty Investors,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1999-07-02,,,
FGT,0,,Frigate Group Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1992-09-16,,,
RAH,ZAE000008702,RA-HOLD,Real Africa Hldgs Ltd,Financials,Investment Insrtuments,Equity Investment Instruments,Equity Investment Instruments,DELISTED,,,,,,,2012-03-13,,,
RAI,ZAE000008710,RAI,Real Africa Invest Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2002-09-16,,,
FGL,,FINBOND,Finbond Group Ltd,Financials,Unclassified,Banks,Unclassified,CURRENT,,,,,,,2015-06-01,,,
FGM,SZ0009004968,FRIDGEM,Masterfridge Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2002-05-31,,,
RAR,,RARE,Rare Holdings Ltd,Industrials,Industrial Goods & Services,Support Services,Industrial Suppliers,CURRENT,,,,,,,2015-06-01,,,
RAP,0,,Raptor Motor Hldgs Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1994-12-06,,,
LBH,,LIB-HOLD,Liberty Holdings Ltd,Financials,Insurance,Life Insurance,Life Insurance,CURRENT,,,,,,,2015-06-01,,,
BFF,0,,Buffalo Corporation Ord,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1993-01-11,,,
LPT,0,LEPLAT,Lebowa Platinum Mines,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1997-08-29,,,
SFNP,,,Sasfin Hldgs Ltd Pref,Unclassified,Financial Services,Unclassified,Investment Services,CURRENT,,,,,,,2015-06-01,,,
BFS,,BLUE,Blue Financial Services,Financials,Financial Services,General Financial,Consumer Finance,Suspended,,SUSPENDED,,,,,2015-06-01,,,
VIF,ZAE000150918,VIVIDEND,Vividend Income Fund Ltd,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holdings & Development,DELISTED,,,,,,,2014-08-04,,,
MZR,,MAZOR,Mazor Group Ltd,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,CURRENT,,,,,,,2015-06-01,,,
MPCP,,,Mr Price Group Ltd 5.5% P,Consumer Services,Retail,General Retailers,Apparel Retailers,DELISTED,,,,,,,2001-09-28,,,
VIL,,VILLAGE,Village Main Reef Gm Co,Basic Materials,Basic Resources,Mining,Gold Mining,Suspended,,,,,,,2015-06-01,,,
VIS,,VISUAL,Visual International Hld,Financials,,Real Estate Investment & Services,,CURRENT,,,,,,,2015-06-01,,,
FUU,CA33744R5087,,First Uranium Corp,Basic Materials,Basic Resources,Industrial Metals,Nonferrous Metals,DELISTED,,,,,,,2013-12-23,,,
ELRP,ZAE000035333,,ELB Group Ltd 6%Pref,Industrials,Industrial Goods & Services,Support Services,Industrial Suppliers,DELISTED,,,,,,,2013-05-13,,,
IFR,ZAE000039236,IFOUR,Ifour Properties Ltd,Financials,Financial Services,Real Estate,Real Estate Holdings & Development,DELISTED,,,,,,,2008-06-06,,,
IFS,ZAE000018362,I-FUSION,I-Fusion Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2001-11-09,,,
OCE,,OCEANA,Oceana Group Ltd,Consumer Goods,Food & Beverages,Food Producers,Farming & Fishing,CURRENT,,,,,,,2015-06-01,,,
IFA,ZAE000035762,IFANET,Ifanet Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2003-01-20,,,
IFH,ZAE000075669,IFA,IFA Hotels And Resorts,Consumer Services,Travel & Leisure,Travel & Leisure,Hotels,DELISTED,,,,,,,2013-09-09,,,
OCT,,OCTODEC,Octodec Invest Ltd,Financials,Real Estate,Real Estate Investment Trusts,Real Estate Holdings & Development,CURRENT,,,,,,,2015-06-01,,,
CEN,ZAE000001335,CENPROP,Centrecity Property Fund,Financials,Financial Services,Real Estate,Real Estate Investment Trusts,DELISTED,,,,,,,2006-04-03,,,
CEL,ZAE000087490,CELCOM,Celcom group Limited,Consumer Services,Retail,General Retailers,Speciality Retailers,DELISTED,,,,,,,2009-05-25,,,
CET,ZAE000015012,CHET,Chet Industries Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2001-12-14,,,
